OLD NAME,"NEW NAME (""NA"" to Delete)",COMMENT
DE FOLTER R J,DEFOLTER R,
DE GANDILLAC M,DEGANDILLAC M,
DE GANDILLAC MAURICE,DEGANDILLAC M,
MAURICE DE GANDILLAC IN THE ANNUAIRE DE LASSOCIATION DES ANCIENS ELEVES DE LECOLE NORMALE SUPERIEURE,DEGANDILLAC M,
DE GANDT F,DEGANDT F,
DE GANDT FRANCOIS,DEGANDT F,
DE GANT F,DEGANDT F,
DEGANDT,DEGANDT F,
DE GARDELLE V,DEGARDELLE V,
DE GAULTIER JULES,DEGAULTIER J,
DE GAYNESFORD MAXIMILIAN,DEGAYNESFORD M,
DE GELDER B,DEGELDER B,
DE GENNARO I,DEGENNARO I,
DE GENNARO L,DEGENNARO L,
DE GRAMONT J,DEGRAMONT J,
DE GREEF JAN,DEGREEF J,
DE GROOT A D,DEGROOT A,
DE GURBERT GP,DEGURBERT G,
DE HAAN S,DEHAANS S,
DE HARO A SERRANO,DEHARO A,
DE HARO AGUSTIN SERRANO,DEHARO A,
DE HARO AS,DEHARO A,
DE HARO SERRANO,DEHARO A,
DE HOOGE IE,DEHOOGE I,
JAEGER H,DEJAEGER H,
DE JAEGHER H,DEJAEGHER H,
DE JESUS P,DEJESUS P,
DE JONG J W,DEJONG J,
DE JOUVENEL B,DEJOUVENEL B,
DE KESEL MARC,DEKESEL M,
DE KOCK L,DEKOCK L,
DE KONING AJJ,DEKONING A,
DE KORT SR,DEKORT S,
DE LA BOETIE E,DELABOETIE E,
DE LA BOETIE ETIENNE,DELABOETIE E,
DE LA CADENA NB,DELACADENA N,
FRUTEAU DELACLOS FREDERIC,DELACLOS F,
DE LA CORTE LUIS,DELACORTE L,
HEME DE LACOTTE SUZANNE,DELACOTTE S,
DE LA CUESTA BENJUMEA CARMEN,DELACUESTA B,
DE LAET M,DELAET M,
DE LA FORGE L,DELAFORGE L,
DE LA FUENTE VT,DELAFUENTE V,
DE LA GARANDERIE A,DELAGARANDERIE A,
DE LAGUNA G A,DELAGUNA G,
DE LA HERA MARTINEZ J,DELAHERA M,
DELAMARREMARTY,DELAMARRE M,
DE LA MAZA LUIS MARIANO,DELAMAZA L,
DELAMAZA,DELAMAZA M,
DE LANCEY C,DELANCEY C,
DE LANDAZURI CO,DELANDAZURI C,
DE LARA F,DELARA F,
DE LARA FRANCISCO,DELARA F,
DEL ARCO J,DELARCO J,
DE LA RUBIA F J,DELARUBIA F,
DE LATOUR SG,DELATOUR S,
DE LAUNAY MARC,DELAUNAY M,
DE LAURENTIIS A,DELAURENTIIS A,
DE LAURENTIIS ALLEGRA,DELAURENTIIS A,
DE LAURETIS T,DELAURETIS T,
DE LA VALLEE POUSSIN L,DELAVALLEE P,
DEL CANO JMM,DELCANO J,
DEL CARMEN MARIA,DELCARMEN M,
DEL CARO A,DELCAROA,
DEL CUL A,DELCUL A,
DE LECEA RODRIGUEZ,DELECEA R,
DE LERNER RRP,DELERNER R,
DE DELEUZE G,DELEUZE G,
DELEUZC GILLES,DELEUZE G,
DELEUZE,DELEUZE G,
DELEUZE C,DELEUZE G,
DELEUZE G,DELEUZE G,
DELEUZE GILES,DELEUZE G,
DELEUZE GILLE,DELEUZE G,
DELEUZE GILLESFELIX GUATTARI,DELEUZE G,
DELEUZE J,DELEUZE G,
DELEUZE JILLES,DELEUZE G,
DELEZ G,DELEUZE G,
KAFKA,DELEUZE G,
DE LIBERA A,DELIBERA A,
DE LIBERA ALAIN,DELIBERA A,
DE LILLO D,DELILLO D,
DE LIMA ERICK C,DELIMA E,
DE LIMA MAG,DELIMA M,
DEL MINISTRO M,DELMINISTRO M,
DEL NOCE AUGUSTO,DELNOCE A,
DELPECHE LEONJACQUES,DELPECH L,
DEL RIO E,DELRIO E,
DEL RIO ELENA,DELRIO E,
DEL RIO R FERNANDEZLOMANA,DELRIOE,
DE LUBAC H,DELUBAC H,
DE LUBAC HENRI,DELUBAC H,
DE LYON IRENEO,DELYON I,
DE LYSER DYDIA,DELYSER D,
DE MAN PAUL,DEMAN P,
DE MANS,DEMAN P,
DE MANUEL VM,DEMANUEL V,
DE MARCHI PAOLA PREMOU,DEMARCHI P,
DE MARTINO B,DEMARTINO B,
DE MARTINO ERNESTO,DEMARTINO E,
DE MAUPASSANT G,DEMAUPASSANT G,
MAUPASSANT,DEMAUPASSANT G,
DE MAURO T,DEMAURO T,
DE MENESES KACG,DEMENESES K,
DE MENESES RDB,DEMENESES R,
MINGO RODRIGUEZ A M DE,DEMINGORODRIGUEZ A,
DE MONTAIGNE MICHEL,DEMONTAIGNE M,
DE MONTHERLANT HENRY,DEMONTHERLANT H,
DE MONTICELLI R,DEMONTICELLI R,
DE MONTICELLI ROBERTA,DEMONTICELLI R,
DE MOURA C A R,DEMOURA C,
DE MUL JOS,DEMUL J,
DE MURALT A,DEMURALT A,
DE MUTH SUSAN,DEMUTH S,
DE MUZAN MICHEL,DEMUZAN M,
DE NATOLE D,DENATOLE D,
DE NEGRI E,DENEGRI E,
DE NERVAL GERARD,DENERVAL G,
DE NEYS W,DENEYS W,
DE NIGRIS F,DENIGRIS F,
DANIEL DENNETT,DENNETT D,
DENNETT,DENNETT D,
DENNETT BC,DENNETT D,
DENNETT C D,DENNETT D,
DENNETT C DANIEL,DENNETT D,
